symbol,side,type,quantity,limit_price
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
ADA,BUY,MARKET,95,0
DOGE,BUY,MARKET,96,0
AVAX,BUY,MARKET,97,0
DOT,BUY,MARKET,98,0
MATIC,BUY,MARKET,99,0
BTC,BUY,MARKET,10,0
ETH,BUY,MARKET,11,0
BNB,BUY,MARKET,12,0
SOL,BUY,MARKET,13,0
XRP,BUY,MARKET,14,0
ADA,BUY,MARKET,15,0
DOGE,BUY,MARKET,16,0
AVAX,BUY,MARKET,17,0
DOT,BUY,MARKET,18,0
MATIC,BUY,MARKET,19,0
BTC,BUY,MARKET,20,0
ETH,BUY,MARKET,21,0
BNB,BUY,MARKET,22,0
SOL,BUY,MARKET,23,0
XRP,BUY,MARKET,24,0
ADA,BUY,MARKET,25,0
DOGE,BUY,MARKET,26,0
AVAX,BUY,MARKET,27,0
DOT,BUY,MARKET,28,0
MATIC,BUY,MARKET,29,0
BTC,BUY,MARKET,30,0
ETH,BUY,MARKET,31,0
BNB,BUY,MARKET,32,0
SOL,BUY,MARKET,33,0
XRP,BUY,MARKET,34,0
ADA,BUY,MARKET,35,0
DOGE,BUY,MARKET,36,0
AVAX,BUY,MARKET,37,0
DOT,BUY,MARKET,38,0
MATIC,BUY,MARKET,39,0
BTC,BUY,MARKET,40,0
ETH,BUY,MARKET,41,0
BNB,BUY,MARKET,42,0
SOL,BUY,MARKET,43,0
XRP,BUY,MARKET,44,0
ADA,BUY,MARKET,45,0
DOGE,BUY,MARKET,46,0
AVAX,BUY,MARKET,47,0
DOT,BUY,MARKET,48,0
MATIC,BUY,MARKET,49,0
BTC,BUY,MARKET,50,0
ETH,BUY,MARKET,51,0
BNB,BUY,MARKET,52,0
SOL,BUY,MARKET,53,0
XRP,BUY,MARKET,54,0
ADA,BUY,MARKET,55,0
DOGE,BUY,MARKET,56,0
AVAX,BUY,MARKET,57,0
DOT,BUY,MARKET,58,0
MATIC,BUY,MARKET,59,0
BTC,BUY,MARKET,60,0
ETH,BUY,MARKET,61,0
BNB,BUY,MARKET,62,0
SOL,BUY,MARKET,63,0
XRP,BUY,MARKET,64,0
ADA,BUY,MARKET,65,0
DOGE,BUY,MARKET,66,0
AVAX,BUY,MARKET,67,0
DOT,BUY,MARKET,68,0
MATIC,BUY,MARKET,69,0
BTC,BUY,MARKET,70,0
ETH,BUY,MARKET,71,0
BNB,BUY,MARKET,72,0
SOL,BUY,MARKET,73,0
XRP,BUY,MARKET,74,0
ADA,BUY,MARKET,75,0
DOGE,BUY,MARKET,76,0
AVAX,BUY,MARKET,77,0
DOT,BUY,MARKET,78,0
MATIC,BUY,MARKET,79,0
BTC,BUY,MARKET,80,0
ETH,BUY,MARKET,81,0
BNB,BUY,MARKET,82,0
SOL,BUY,MARKET,83,0
XRP,BUY,MARKET,84,0
ADA,BUY,MARKET,85,0
DOGE,BUY,MARKET,86,0
AVAX,BUY,MARKET,87,0
DOT,BUY,MARKET,88,0
MATIC,BUY,MARKET,89,0
BTC,BUY,MARKET,90,0
ETH,BUY,MARKET,91,0
BNB,BUY,MARKET,92,0
SOL,BUY,MARKET,93,0
XRP,BUY,MARKET,94,0
